login_id,user_id,timestamp,country,city,user_agent,os,resolution,login_status,auth_method,is_anomaly
30a900ad-939b-462d-a645-f129629c2ae3,user_001,2026-01-21 17:42:39.568682,KP,Bradleychester,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edge/91.0.864.59",Windows,1024x768,Failed,Password,1
ce777f00-ecf2-4e76-8519-7ff4006ed6e3,user_001,2026-01-24 14:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
f0b5156b-b82c-4074-afd5-dea589d7fd6c,user_001,2026-01-24 19:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
3270e4fa-abae-4f43-bcae-8081bdf070aa,user_001,2026-01-25 20:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
f2e9702d-11e9-4daa-ae69-81a35d3d9e56,user_001,2026-01-26 21:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
9f871ce7-5487-4d4f-abb7-a385aa0b7b14,user_001,2026-01-28 08:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
1fe771d6-d917-4793-a9d3-c2e6505cc686,user_001,2026-01-28 12:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
81d2c7de-4ce1-4b90-a669-7833b841d0a0,user_001,2026-01-29 09:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
5380b904-688c-4015-aab9-7e494f2d4796,user_001,2026-01-31 15:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
8dedf9fb-4bb0-4f20-b27c-40266703b636,user_001,2026-02-02 06:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
aa38d0a1-6ba2-4efe-b11c-6eb62095eef6,user_001,2026-02-03 09:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,user_001,2026-02-05 02:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
91b0e1d9-9d92-42af-ac8d-0e44e71e43a6,user_001,2026-02-06 20:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
d56f0350-8c45-4ce2-a7f4-8ad54d0b0d1a,user_001,2026-02-09 13:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
35ce8841-4973-4d6c-8dca-bfb7001a9a8b,user_001,2026-02-11 15:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
9b4e2c24-9479-41e6-8927-7d9b6e0d2648,user_001,2026-02-13 16:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
7118e364-7709-4749-927e-ecfaa79ac9aa,user_001,2026-02-15 14:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
82dc4c8e-36b5-429a-acf5-e81e71316269,user_001,2026-02-18 12:42:39.568682,CA,Sydney,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,390x844,Success,Password,0
f5b78cc7-e6b3-4944-8b32-3e357922bac2,user_002,2026-01-21 17:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1",iOS,390x844,Success,Biometric,0
a8aa7158-2b70-4525-bc67-f831cbc84759,user_002,2026-01-22 15:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
a9f25336-83f4-49a9-88a6-39d015b52908,user_002,2026-01-23 07:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
17e8392a-55ce-45db-9e87-e04ca2086977,user_002,2026-01-24 01:42:39.568682,CN,Lake Lance,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,1024x768,Success,Password,1
0640be0f-25b8-4d4b-b2fa-2de8ce7ae7f6,user_002,2026-01-26 11:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
79a28903-fbe3-4b24-beae-00320bd4a990,user_002,2026-01-28 22:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
12a4def0-c4bb-47a9-9988-68dd9c7c7377,user_002,2026-01-30 05:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
a1384ddc-e2d9-4e5d-aa18-ce4c74962764,user_002,2026-02-02 05:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
b24445a7-b7e5-4481-b1c6-81ec935f2b0a,user_002,2026-02-04 01:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
3e75c3b4-664f-4663-be8f-8095624c69b6,user_002,2026-02-05 03:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
016b6287-b008-45cc-a7f3-6ae925c73c44,user_002,2026-02-06 23:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
c521bf2d-dc45-4539-803f-3538e4855aa1,user_002,2026-02-07 20:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
6cd66193-c746-4f59-9b49-4e15e2add909,user_002,2026-02-10 14:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
f53d4330-cdda-44ba-ad06-e8cf3805f907,user_002,2026-02-10 19:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
0cdb1ca4-76ec-4dd6-8498-e113b227462c,user_002,2026-02-13 03:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
d92c9227-eadf-4085-bfcb-75468eb22579,user_002,2026-02-13 10:42:39.568682,GB,Rutherglen,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Windows,2560x1440,Success,Password,0
